review_text,stars
"I’ve stayed in a hostel once before, and this one is nothing like what I imagined a hostel to be. The place is wonderfully cozy, warm, and has a homey feel. The location is excellent, the pods are comfortable, place is squeaky clean and the staff is amazing. On top of that, they even offer breakfast and really great coffee for guests. For the price and location, it’s unbeatable. I would definitely stay here again!",5
"The people in the photo (hosts) are not the people I ever saw at this location and don't seem to be on site. It was as described, and you should know that it is run by Hare Krishna. They are doing great work and offer simple meals at any time of the day to anyone staying. Everything was clean, and all of the hosts were friendly! I would stay here again!",5
"this is my fifth time visiting manhattan and this is my definitely amongst my favorites for accommodations i've stayed in. very cozy and clean, you'll feel right at home! they always have food and drink for guests, and the bathroom is even kept well stocked. it's nice and quiet as well, with quite a safe and comfortable feeling atmosphere. very kind and warm hosts that keep a lovely place, i'd definitely stay here again next time i'm here",5
"I love this place! As newbie coming into the city for work trips, this hostel is perfect for a couple days. The location is an easy walk from penn station, the staff is kind, and the place feels safe. Inside, it is clean, welcoming, and warm with snacks and coffee. The only issue I had were the late arrivals, 11 pm or 12 am, keeping me awake when I had to work in the morning. Otherwise, it's is great for a solo trip!",4
I have never stayed in a hostel before so I was a little nervous at first. This was a great experience. Photos are accurate. Everyone was respectful about quiet hours. The community area and kitchen was fantastic. The scones are amazing!! The staff is so helpful and friendly. I had no problems at all. I would definitely come back!,5
The host are very welcoming & explain everything to you about the place when you arrive. There’s always someone in the office 24/7 if you need to reach out. This is my go to whenever I’m in NYC. Beautiful Zen space for the solo traveler. I love the Chelsea neighborhood. The Italian restaurant & improv theater is right around the corner. Both are excellent! I highly recommend. 🙏,5
"The place was more expensive then what I would expect, but I enjoyed the location and hostel. the staff was really nice, the site was flexible in access, and the space was super clean and organized. I would definitely visit again based on it's proximity to work, the train, and my favorite places in Manhattan. Instructions were super understandable and the communication with the host was great!",5
"great place. exactly as described. friendly hosts and staff. the place is so clean, and the location is perfect. the 24hrs check-in option really worked for me! Read the description carefully, it is not a typical stay. (the fact that sound travels easily can interrupt your sleep if you are a light-sleeper.",5
"My husband stayed here for one night and then had to leave it was so bad. Hugely misrepresented in the airbnb photos and reviews. The cubicles were like cells. It was horribly loud, you could hear literally everything. He said he heard talking, snoring, and farting well into the night and even with earplugs he couldn't sleep. Bodily functions don't obey quiet hours. The hosts were kind and it was clean but this is bare bones. Is it really so expensive to put up some real walls? At least old school hostels used to have actual rooms.",2
"The staff is great, the room is clean, and the overall atmosphere is cozy. The team was very attentive and strongly emphasized the importance of keeping quiet. During the night, I understood why. Since the cubicles are not closed at the top, you can hear absolutely everything other guests do during the night. For me, this was unbearable, and I had to cancel my reservation the following day. I only recommend this place if you are a very heavy sleeper.",3
"4 years on Airbnb Rating, 5 stars , · 2 days ago This place was fantastic for the budget. I couldn’t ask for more. The daily free breakfast of bread, milk, and fresh fruits basically pays for itself to a certain extent. The room is small so it’s perfect for people that just need a place to sleep. But one thing to note is that you can’t bring any meat product in the building - which includes eggs and any canned food. It was a challenge for me to find affordable high quality protein for myself that needs to be eaten outside, so keep this in mind.",5
"Great stay, very affordable, clean showers and bathrooms. Nice breakfast area and fun cubicle like rooms with good wifi. Excellent location, staff is always available on demand 24/7 would book again a heartbeat.",5
The place is very clean and cozy. It is very helpful having someone 24/7 at the reception. It feels safe. There are a lot of breakfast options. Everyone is friendly. It is good value for the cost definitely.,4
"very good spot for a short stay in NY ! extremely well located, flexibility with check in, breakfast available, kind and responsive people. I can recommend it with my full heart !",5
"I had an amazing time at this place! The location is just great, and the amenities were surprisingly nice. Yana's scones are THE BEST thing ever, and she's a lovely person. Shout out to Jeremy, who was so nice as well. I look forward to staying here the next time I visit NYC.",5
This was my second time staying at Interfaith and I’ll definitely be back again! The location is absolutely incredible - 20 min walk to the Theatre District and Times Square. Staff are so pleasant and accommodating. Highly recommend.,5
"This place exceeded my expectation! It is a hostel style so all the cubicles are small and not closed all the way up (important!). However, due to well management, guests are fairly quite and considerate of others so my stay was easy and calm.",5
Wonderful place to be for a solo trip in the city of New York for the first time ever. I enjoyed how small and relaxed the place was. Was very clean and comfortable. I loved how close to everything the building was. Definitely hope to stay soon.,5
My only complaint is that the cubicle got kinda hot at night which made it difficult to sleep. I also encountered a guest who was trying to check in late at night and was not able to reach anyone on the phone. My check in went fine though. Overall I had a great stay,4
"clean, comfortable, convenient described very accurately read everything in the ad and in the messages and emails to know what to expect 24hour access to a variety of food was great friendly, helpful staff",5
"This place is exactly what is described. The location was great. It’s all I needed for my trip since I was only there for 24 hours. It’s walkable to everything, there are subway stations within 4 mins. I couldn’t have asked for a better spot.",5
This was a wonderful experience. I highly recommend staying here if you’re a solo traveler. The place is just as pictured and close to many of the main attractions. I wish I could’ve stayed longer.,5
"It is as described. Place to sleep and shower. If that’s what you’re looking for, it works well. Right by the ACE and 123 line, and Penn station. Instructions to check in and out were clear and easy.",5
Had a wonderful stay! Walkable distance to touristic places as well as the subway so transportation was easily accessible. I felt respected by the host and other guest. Communication was great and easy going! Will definitely stay again.,5
"As a first time solo traveler to NYC, this was the best place to stay I could have ever asked for. Loved how close it was to Penn Station, the ability to hold my luggage before and after check out, and how responsive the hosts were! Such a bang for your buck, I would recommend it to anyone!",5
"Amazing prime location, and very good price for that location. But some conditions like no non vegetarian foods allowed and lack of roof(everything is audible to everyone in that floor); these conditions are little harsh. But they were mentioned clearly while booking the room, so read throughly. Definitely need to vacate, if we violate the conditions. Other than food and sound privacy, host is amazing and friendly, very responsive and respectful. Nice location and price. Check conditions and book.",3
"This was my second time at this location. I had stayed at the New York Spirit Retreat (same location 4th floor) earlier and was pleasantly surprised to see the difference in comfort at Interfaith- the bathrooms are much more spacious and the space overall is much more comfortable. Love the common area on the 3rd floor. As a vegetarian myself, I loved that no meat, eggs and fish are allowed. The staff is responsive and amiable. I loved reading, praying and connecting with more folks at the building. The muffins were my favorite.",5
This is my second time at this hostel and once again everything was great. They really take care of you and make sure everything is squeaky clean! Staff are all helpful and kitchen options are awesome. Thanks again guys!,5
"Booked for 4 day 3 nights, but couldn't stay there after the first night and checked myself into a hotel. Everyone around you is snoring; and they employ a Chinese lady at night to keep watch and wake up snorers - but you can't sleep either way. 25 cubicles with beds 3/4 size of a single bed, and only 3 bathrooms and showers, walking around in circles to get there. If you're on a tight budget this might be for you, but if you have some standards book yourself a hotel.",1
"Lovely, accommodating, and communicative hosts. This Airbnb is situated unbelievable close to the “heart” of NYC. I couldn’t have chosen a better place to stay and I’ll definitely be back.",5
This is my go to place whenever I’m in the city. Very convenient Penn Station and the word authority. I always feel at home there very Zen and peaceful. Highly recommend.,5
"Excellent location—everything was within easy walking distance, which made the stay especially convenient. A thoughtful touch: complimentary earplugs were provided, which proved helpful at night given the close proximity to neighboring guests.",4
It’s my go to place when I’m in the city. Chelsea is very convenient to Penn Station & Port Authority. Friendly and helpful staff! Zen & peaceful. I highly recommend for the solo traveler. 😊☮️,5
"A wonderful place with a very pleasant atmosphere. You can really feel the care for guests: cleanliness, order, and comfort are at a high level. The staff is friendly and helpful. A great option both for a short stay and for long-term accommodation. Thank you for the hospitality!",5
"It was an amazing stay, had the best time. Definitely recommend this place to others, and for myself too, for the next time! Absolutely clean, hyegenic, and a good vibes stay! Loved it, had so much peace. Thank you !",5
"I’m really glad I stayed here. The room was always kept extremely clean, and the location was very convenient for getting anywhere. It felt like it gave me more time to truly enjoy my trip. I would definitely love to stay here again!",5
"It has been a nice experience staying in new york city which was my ""home"" in a short period, and this stay was very friendly and the cost is unprecedentedly nice and the home made cookies are nice.",5
"Just what I was looking for everything is super nice, I arrived in the morning and they offered me breakfast, it was incredible, and the day of my departure they kept my things to continue enjoying NY, super recommended... just don't make noise that if it's very serious.",5
"This is a good option if you are in need of a place for the night. You get what you see in the photo - for walls and a mattress. My stay was decent, everyone seemed to understand the rules and were respectful of each other.",5
My first time visiting in new york city and so glad I booked this bnb ❤️ I got well rested and people at the front desk are nice too! Great people and great team! I will definitely come back here when I visit new york again 🥰,5
"If you need a simple bed and private “room” for a very good price in the nearby of NYC, this is it. Perfect for solo travelers and if you want a budget bed to crash on. Showers, toast/bagel breakfast, and the private, locking door space are great for the prime location next to MSG and Penn Station",5
"Perfect location, very clean. Easy check in and out - thank you for making everything so convenient!",5
"PROS: Location is top notch. The staff is VERY friendly. Shared bathrooms/showers very clean. Water machine broke one day and was immediately worked on and fixed. The staff is great. Love that they offer drinks and small snacks at all hours. Staff member there at all times. CONS: It is small- so do you research and check measurements- I'm 5'9 and the bed was too small for me. I hit my head twice in the bathroom- but again they do list measurements in listing so just make sure room would work for you. My biggest complaint is the noise. They do their best- but there are snorers. You will hear MULTIPLE alarms going off all before 7am (some being hit on snooze or just left on for minutes at a time) and even though they have ""quiet hours"" there will phone calls/facetimes all around you. The best sleep I got was midday- but my sleep was severely affected unfortunately by other tenants. So it's the roll of the dice and hope you get decent people with manners. Besides the noise- great stay.",3
"Great solution if you want to stay for a few nights in Manhattan on a budget! Perfect location, quite clean, friendly staff available 24/7, breakfast included. The ceiling of the cubicle is open, so you'll get the snores (and smell) of your neighbors, but it's clearly communicated in advance. I stayed 6 nights; during two nights the staff woke up others to stop them from snoring, and one night the police even came because someone didn't collaborate. The staff handled everything very well though and I never felt unsafe, but even with earplugs I found it sometimes difficult to sleep. Lastly, Im 6'3"" (190 cm), and didn't fit flat on the bed as it was a bit short. Luckily I'm a side sleeper! Would definitely recommend and come back as well! Thanks a lot!",5
Lovely hostel. Rooms are small but if silo traveling it’s perfect. It’s also in Manhattan so it makes traveling easy. 10/10 I’d stay again! Friendly staff.,5
"This place is budget-friendly, and has a walkable distance to great restaurants and metro stations. The hosts are easy to communicate with; the staffs are professional and available 24/7; the restroom is surprisingly clean with spotless toilets. As mentioned in the description, the rooms are not soundproof. I appreciate the hosts for being upfront on this issue, and for their efforts in maintaining the quietness, such as having the quiet hour from 8pm-8am, and providing the earplugs. However, there are about 10--20 guests, so it is hard to make sure that everyone stays quiet throughout the night. I am kind of a light sleeper, but I am on budget, so I tried this place; I turn out to be ok with staying for one night, but two nights or anytime longer starts to be difficult for me.",5
